"关键词词组","ABA总计 点击份额","ABA总计 转化份额","关键词销量","Magnet IQ得分","搜索量","搜索量趋势","H10 PPC 建议出价","H10 PPC 建议最低出价","H10 PPC 建议最高出价","广告推广ASIN 数","竞品数","CPR","自然","标题密度","Smart Complete","亚马逊推荐"
"candle lamp adjustable",,,4,138,275,"n/a",,,,108,">2,000",8,1,0,1,1
"candle warmer lamp with timer adjustable",,,4,336,311,"n/a",,,,122,">925",8,1,0,1,0
"black candle lamp warmer",,,4,373,268,13,,,,168,">719",8,1,2,1,0
"candle warmers￼",,,4,57,341,5,,,,224,">6,000",8,1,0,0,0
"candle related gifts",,,4,362,271,-6,,,,165,749,8,1,0,0,0
"candle warmer lamp cheap",32.3,,4,81,407,-7,1.03,0.87,1.1,193,">5,000",8,1,0,1,0
"unique candle warmer lamp",34.6,50,4,871,296,15,,,,210,340,8,1,0,1,1
"candle.warmer lamp",,,4,299,299,-11,,,,210,">1,000",8,1,0,0,1
"candles for lamp warmers",,,4,346,346,8,,,,182,">1,000",8,1,0,1,0
"canle warmer",,,4,10,303,-15,,,,171,">30,000",8,1,0,0,1
"bronze candle warmer lamp",30.6,,4,630,354,-1,,,,146,562,8,1,1,1,1
"candle warmer lantern with timer",,,4,489,317,32,,,,239,">648",8,1,3,0,1
"wooden candle warmer lamp",,,4,458,312,25,,,,175,">681",8,0,2,1,1
"candle warmer lamp for teen girls",,,4,625,324,18,0.89,0.68,1.27,216,518,8,0,0,1,0
"loowoko candle warmer lamp",,,4,455,235,306,0.92,0.73,1.16,209,517,8,1,0,1,0
"soilsiu candle warmer lamp with timer",,,4,677,352,65,,,,216,520,8,1,0,1,0
"cloud candle warmer lamp",88.2,50,4,553,364,40,0.8,0.68,0.89,255,658,8,1,0,1,1
"marycele",80,,4,"3,926",373,-4,1.01,0.85,1.17,78,95,8,1,5,0,0
"melting candle lamp",36,,4,373,373,18,,,,300,">1,000",8,1,0,1,0
"candle lamp warmer black",39.4,33.3,4,483,359,99,,,,304,">744",8,1,0,1,0
"retro candle warmer lamp",51.1,,4,450,268,70,,,,200,">596",8,1,0,1,1
"aromatherapy lamp candle warmer",,,4,380,311,46,,,,166,">819",8,1,0,1,1
"candle warmer adjustable",31,33.3,4,418,402,8,0.95,0.67,1.25,238,">961",8,1,2,0,1
"candle warmer lantern lamp",55.2,33.3,4,317,317,28,,,,284,">1,000",8,0,0,1,1
"wax warmer lamp for scented wax",21.2,,4,343,343,13,,,,207,">1,000",8,1,0,0,0
"candle warmer lamp farmhouse",29.6,,4,641,370,5,,,,362,577,8,1,0,1,0
"2 pack candle warmer lamp",48,33.3,4,437,437,47,0.92,0.68,1.17,352,">1,000",8,0,3,1,1
"hestia candle warmer",67.3,80,4,909,420,76,0.96,0.7,1.24,231,462,8,1,1,0,1
"candle warmer lamp flower shape",,,4,686,341,161,,,,131,497,8,1,0,1,0
"things that look like other things decor",,,4,29,265,19,0.84,0.59,1.09,305,">9,000",8,1,0,0,0
"coastal granddaughter room decor",20.3,14.3,4,"5,377","2,984",-9,0.66,0.53,0.95,606,">555",31,0,10,0,1
"neutral home decor aesthetic",21.3,25,4,78,698,-8,0.69,0.5,0.79,315,">9,000",10,0,0,0,1
"baccarat rouge candle",60,83.3,4,"3,500",378,7,1.2,0.95,1.37,132,108,8,0,1,0,1
"wac warmer",,,4,80,319,-6,,,,256,">4,000",8,1,0,0,0
"bedroom gifts for women",,,4,4,351,31,1.29,0.94,1.69,376,">90,000",8,1,0,0,0
"heat candle lamp",,,4,357,328,15,,,,353,">918",8,1,0,1,1
"best candle warmer",20.9,20,4,189,378,9,0.85,0.64,0.96,254,">2,000",8,1,0,0,1
"fireplace candle warmer",,,4,185,370,22,,,,283,">2,000",8,0,0,0,1
"wax warmer for scented wax with timer",31,28.6,4,407,216,-24,,,,311,531,8,1,0,0,0
"candle wsrmer",27.8,,4,14,415,3,0.99,0.67,1.29,269,">30,000",8,1,0,0,1
"candlw warmer",,,4,8,253,"n/a",,,,97,">30,000",8,1,0,0,1
"cabdle warmer",30.2,14.3,4,13,397,13,1.01,0.72,1.28,280,">30,000",8,1,0,0,1
"candle wax warmer lamp",22.9,20,4,384,384,29,0.99,0.72,1.42,261,">1,000",8,1,1,1,1
"house gifts for mom",,,4,7,286,97,0.9,0.65,1.14,188,">40,000",8,1,0,0,0
"bath and body works candle warmer",38.7,,4,"1,139",335,213,,,,280,294,8,1,0,0,0
"candle warmer with candle",,,4,19,388,42,1.07,0.71,1.26,370,">20,000",8,1,0,0,0
"calentador de velas",24.6,40,4,322,644,32,0.85,0.58,1.15,491,">2,000",10,1,0,0,1
"candle melt lamp",24.3,14.3,4,384,384,-2,1.02,0.67,1.24,297,">1,000",8,1,0,1,1
"large wax warmer",34.7,50,4,145,434,-1,0.66,0.47,0.81,264,">3,000",8,0,0,0,1
"home devor",15.2,,4,3,349,-12,1.05,0.82,1.18,414,">100,000",8,1,0,0,0
"cute lamps",18.2,5,4,300,"2,696",-15,0.83,0.56,1.05,744,">9,000",28,1,1,0,0
"bee wax candles",34.2,25,4,"1,281",351,-5,,,,368,274,8,0,1,0,1
"candle light burner",,,4,433,280,"n/a",,,,141,">646",8,1,0,0,1
"candle warmer silver",31.7,50,4,291,581,5,0.96,0.67,1.19,434,"2,000",9,1,0,0,1
"wax warmer timer",33.3,,4,713,368,1,0.65,0.5,0.79,280,516,8,1,0,0,0
"gifts for working women",28,,4,10,381,61,0.99,0.76,1.28,485,">40,000",8,1,0,0,0
"electric lamp candle warmer",,,4,228,228,34,,,,344,">1,000",8,1,1,1,0
"flower wax warmer",23.1,,4,472,335,21,,,,199,709,8,1,1,0,0
"light candle",21.3,,4,17,340,1,1.39,1.02,1.82,377,">20,000",8,1,0,0,1
"black aesthetic room decor",21.1,,4,11,429,-4,0.71,0.51,0.78,373,">40,000",8,0,0,0,1
"crystal candle warmer",27.8,20,4,603,413,13,,,,342,">685",8,1,5,0,1
"girly decor",10.5,12.5,4,154,"1,234",-3,0.54,0.37,0.79,905,">8,000",26,1,0,0,0
"traditional home decor",18.2,,4,6,644,8,0.77,0.53,0.9,422,">100,000",10,1,1,0,0
"chic gifts",,,4,3,286,19,,,,366,">100,000",8,1,0,0,0
"extra large candle warmer",34.6,14.3,4,84,421,2,,,,322,">5,000",8,1,0,0,1
"electric candle warmer with timer",18,16.7,4,367,367,33,1.01,0.79,1.26,347,">1,000",8,1,1,0,1
"yankee candle warmer electric",,,4,237,219,254,,,,176,">923",8,0,0,0,1
"mothers gift",23,36.4,4,8,764,68,1.34,1.04,1.82,516,">100,000",11,1,0,0,0
"top gifts for women",32.1,12.5,4,12,"1,164",-3,1.45,0.97,1.79,739,">100,000",26,1,0,0,0
"hello kitty candle warmer",,,3,976,241,"n/a",,,,134,247,8,1,0,0,0
"candle and candle warmer",,,3,48,289,"n/a",,,,122,">6,000",8,1,0,0,0
"candle heat lamp warmer",,,3,402,330,"n/a",,,,153,">820",8,1,0,1,1
"boho gifts for women vintage boho",,,3,11,219,"n/a",,,,99,">20,000",8,1,0,0,0
"candle warmer lamp led",,,3,277,277,-1,,,,121,">1,000",8,0,0,1,0
"candle warmer under 20",,,3,454,256,1,,,,127,564,8,1,0,0,0
"candle warmer with marble base",,,3,829,281,-7,,,,125,339,8,0,3,0,1
"candle warmer lamp mid century",,,3,512,259,-12,,,,152,506,8,1,0,1,1
"led candle warmer lamp",,,3,547,373,19,,,,206,">682",8,1,3,1,1
"candle warmer with timers",,,3,268,268,-1,,,,204,">1,000",8,1,0,0,0
"candle warmer lamp lantern style",,,3,550,311,-6,,,,194,565,8,0,0,1,0
"flower candle lamp",58.3,,3,"1,404",330,-18,0.8,0.63,1.07,134,235,8,1,7,1,0
"modern candle warmer lamp with timer",40,33.3,3,261,219,-7,,,,195,">840",8,1,1,1,0
"wanidea flameless candles lamp, led candles,cute kerosene lamp,silicone flame amber light,adjustable",,,3,"13,158",250,-22,1.04,0.83,1.59,12,19,8,0,0,1,0
"candela lamp",,,3,513,274,65,,,,334,534,8,1,0,0,0
"candle warmers on sale",28.2,,3,511,351,43,,,,253,687,8,1,0,0,0
"lampara para vela",,,3,429,219,12,,,,269,510,8,1,0,0,1
"amazon candle warmer",30,,3,561,311,-4,1.08,0.78,1.26,254,554,8,1,0,0,1
"black lamp candle warmer",,,3,363,271,29,,,,267,">746",8,1,0,1,0
"steel candles that never melt",,,3,"10,710",332,122,,,,10,31,8,1,0,0,0
"candle warmer lamp purple",42.2,20,3,807,426,26,0.94,0.7,1.21,255,528,8,0,0,1,0
"candle warmer lamp under 20",,,3,685,378,157,0.81,0.64,1.09,368,552,8,1,0,1,1
"fragrance candle warmer lamp",44.5,16.7,3,349,349,-50,1.02,0.77,1.39,260,">1,000",8,1,3,1,0
"candle warmer lamp marycele",86.5,,3,845,437,2,1.27,0.96,1.54,261,517,8,1,0,1,0
"candle warmer lamp with usb port",,,3,580,324,132,,,,291,559,8,0,0,1,0
"candle warmer lamp with dimmer",17.4,25,3,863,698,54,0.9,0.62,1.19,332,">809",10,1,3,1,1
"tap light lamp",17.8,18.2,3,138,415,-5,1,0.75,1.19,293,">3,000",8,0,0,0,1
"lamparas para velas aromaticas",29.7,,3,"4,175",764,88,0.83,0.58,1.01,349,183,11,1,0,0,1
"candle lovers gift ideas",,,3,311,311,50,1.3,1.06,1.41,380,">1,000",8,1,0,0,0
"marycele candle warmer",,,3,667,322,16,1.17,0.86,1.42,305,483,8,1,0,0,1
"candle warmer flower lamp",53.7,,3,786,437,4,0.84,0.64,1.16,258,556,8,1,0,1,1
"融蜡灯",35.9,50,3,"3,818",378,-4,0.92,0.76,1.26,153,99,8,1,0,0,1
"nancy meyers home decor",22.2,2.5,3,"15,749","2,693",8,0.53,0.4,0.7,505,171,27,1,0,0,0
"dark academia lamp",23,,3,831,399,-14,0.83,0.66,1.05,385,480,8,1,0,0,0
"christmas birthday gifts",,,3,3,259,441,,,,216,">100,000",8,1,1,0,0
"house gofts",,,3,3,250,"n/a",,,,106,">100,000",8,1,0,0,0
"wall plug wax melt warmer",29.8,22.2,3,710,336,-7,,,,211,473,8,0,2,0,1
"in law gift ideas",,,3,34,340,79,1.43,1.06,1.76,201,">10,000",8,1,1,0,0
"chritmas presents for mom",,,3,4,389,182,1.45,1.11,1.92,255,">90,000",8,1,0,0,0
"home christmas gifts",,,3,4,394,56,1.22,0.95,1.4,501,">100,000",8,1,0,0,0
"vintage candle snuffer",32.3,25,3,880,235,117,,,,159,267,8,0,4,0,1
"automatic candle snuffer",36.7,,3,"1,321",424,-5,0.95,0.88,1.02,270,">321",8,0,8,0,1
"disney candle warmer",,,3,488,286,39,,,,223,586,8,1,0,0,0
"cheap candle warmer",,,3,59,235,173,,,,257,">4,000",8,1,0,0,0
"candle stick lamps",,,3,"2,101",311,0,,,,265,148,8,0,0,1,0
"modern candle warmer",23.7,,3,598,581,-28,0.91,0.62,1.24,558,">971",9,1,3,0,1
"mini candle warmer",43.3,33.3,3,462,362,4,,,,378,">783",8,1,0,0,1
"grey candle warmer",,,3,277,222,"n/a",,,,163,">801",8,1,0,0,0
"cow candle warmer",,,3,409,259,28,,,,259,633,8,0,0,0,1
"good christmas gifts",,,3,4,439,-33,1.31,0.95,1.46,685,">100,000",8,1,0,0,0
"red candle warmer",,,3,69,277,"n/a",,,,132,">4,000",8,1,0,0,0
"cheap birthday gifts for women",34,57.2,3,2,356,-15,1.1,0.94,1.43,295,">200,000",8,1,0,0,0
"wax warmer black",38.2,33.3,3,198,396,-6,0.56,0.48,0.74,276,">2,000",8,1,0,0,0
"feminine decor",13.2,,3,83,415,-2,0.78,0.56,0.98,410,">5,000",8,1,0,0,0
"warming lamp",26.2,9.1,3,107,428,3,0.98,0.66,1.2,330,">4,000",8,1,3,0,1
"marble candle warmer",42.4,,3,"1,107",362,-6,1,0.69,1.2,336,327,8,0,2,0,1
"bedroom necessities",15.2,28.6,3,153,765,-21,0.95,0.72,1.24,424,">5,000",11,1,0,0,0
"house warming gifts for women",,,3,28,283,-16,,,,365,">10,000",8,1,1,0,0
"decorative wax warmer",19.5,40,3,490,346,3,,,,306,">706",8,1,0,0,0
"lamp candle holder",,,3,134,268,116,,,,252,">2,000",8,1,0,1,1
"dorm gifts",,,3,5,381,41,1.1,0.75,1.43,524,">70,000",8,1,0,0,0
"useful christmas gifts",,,3,8,304,34,1.16,0.86,1.46,433,">40,000",8,1,0,0,0
"candle melts warmer",28.9,42.9,3,78,391,-3,0.66,0.49,0.79,338,">5,000",8,0,0,0,1
"yankee candle holder",31.3,33.3,3,574,436,21,0.55,0.43,0.72,419,">759",8,0,0,0,1
"gift for mom birthday",20.2,9.5,3,4,439,-58,1.44,1.01,1.83,462,">100,000",8,1,0,0,0
"mothers day gift",23.8,,3,6,644,28,1.32,0.91,1.77,416,">100,000",10,1,0,0,0
"home entertainment gifts",,,2,2,247,"n/a",,,,123,">100,000",8,1,0,0,0
"best house gift",,,2,2,247,"n/a",,,,97,">100,000",8,1,0,0,0
"better homes and gardens candle warmer lamp",,,2,438,235,"n/a",,,,131,537,8,1,0,1,0
"candle lamp warmer adjustable with timer",,,2,379,351,21,1.02,0.75,1.32,139,">925",8,1,0,1,0
"desk lamp candle warmer",,,2,371,235,-15,,,,136,">634",8,1,0,1,1
"trademark candle warmer lamp",32.1,100,2,829,437,-1,0.86,0.67,1.13,152,527,8,1,0,1,1
"candle warmer lamp for large yankee jar candles",,,2,450,259,11,,,,185,576,8,1,0,1,0
"candle warmer light with timer",33.3,11.1,2,407,407,14,,,,190,">1,000",8,1,0,0,1
"candle warmer lamp brown",,,2,505,283,1,,,,167,560,8,1,0,1,1
"candle warmer lamp with timer black",42.4,16.7,2,470,381,18,,,,202,">810",8,1,0,1,0
"candle warmer lamp rechargeable",36.7,,2,665,359,4,,,,183,540,8,1,0,1,0
"candle warmer lamp brushed nickel",,,2,"2,189",324,6,,,,185,148,8,1,0,1,1
"tiffany style candle warmer lamp",37.5,,2,"2,947",336,6,,,,229,114,8,0,1,1,0
"tiffany candle warmer lamp",46.4,33.3,2,520,338,11,,,,254,650,8,0,0,1,0
"dimmable flower candle warmer lamp with timer, green candle lamp warmer for jar candle, 2024 womens ",,,2,715,346,18,,,,225,484,8,0,0,1,0
"lighted candle warmer lamp",,,2,648,357,-4,,,,260,551,8,1,0,1,1
"battery powered candle warmers",29.1,,2,624,580,33,0.85,0.57,1.12,257,">929",9,1,0,0,0
"led vintage kerosene lamp electronic swing candle",62.1,100,2,"3,700",407,22,0.85,0.69,1.18,108,110,8,0,2,1,0
"tortoise shell candle",71.1,50,2,"5,042",484,-2,1.22,0.98,1.58,101,96,9,1,0,0,0
"dark cottage core decor",25.6,,2,171,341,26,,,,359,">2,000",8,1,0,0,0
"lámpara para velas",27.6,,2,756,410,50,1.33,1.02,1.47,182,542,8,1,0,0,0
"calentador de vela",37,50,2,125,375,32,,,,169,">3,000",8,1,0,0,1
"50 gifts women",,,2,4,364,"1,430",1.48,1.07,1.94,267,">100,000",8,1,0,0,0
"candle warmer cordless rechargeable",28.6,50,2,362,346,3,,,,307,956,8,1,0,0,0
"heating lamp for candles",31.8,16.7,2,563,391,76,,,,260,">694",8,1,0,1,0
"50$ gift",,,2,3,330,105,1.47,1.08,1.96,257,">100,000",8,1,0,0,0
"candle warmers lamp with timer",20.6,14.3,2,644,644,83,0.97,0.75,1.42,267,">1,000",10,1,0,1,0
"candle warmer lamp rustic farmhouse",24.1,25,2,651,330,15,,,,324,507,8,1,0,1,1
"battery candle warmer lamp",28.8,,2,521,400,7,,,,279,">768",8,1,0,1,0
"funistree",,,2,"4,011",349,89,,,,17,87,8,1,8,0,1
"candle warmwr lamp",25,,2,381,381,5,0.98,0.74,1.28,253,">1,000",8,1,0,1,1
"cozy home gifts",,,2,4,351,89,1.23,0.99,1.44,292,">80,000",8,1,0,0,0
"best candle warmer lamp",27.5,,2,356,356,15,,,,243,">1,000",8,1,0,1,1
"candle lamo",34.6,,2,280,280,15,1.02,0.77,1.32,220,">1,000",8,1,0,0,1
"tulip candle warmer",,,2,856,381,5,,,,221,445,8,1,0,0,0
"candle warmer lamp glass",32.1,50,2,487,311,274,1.17,0.88,1.32,164,">638",8,1,0,1,1
"adjustable candle warmer lamp with timer",14.9,15.4,2,393,368,6,0.87,0.6,1.2,298,">936",8,1,1,1,0
"candle warmer lamp adjustable height with timer",36,100,2,436,346,94,0.86,0.61,1.14,262,">794",8,1,0,1,0
"calentador de velas aromáticas",32.3,,2,530,413,-20,0.79,0.55,1.13,399,779,8,1,0,0,1
"small candle warmer lamp",13.3,,2,644,644,19,0.91,0.69,1.32,298,">1,000",10,1,0,1,1
"large candle warmer lamp",18.1,,2,516,516,26,0.98,0.69,1.33,283,">1,000",9,1,0,1,1
"candle warmer lamp vintage",43.9,,2,535,372,16,,,,265,">695",8,1,0,1,0
"cute candle warmer lamp",28.3,16.7,2,623,402,7,0.93,0.62,1.14,344,645,8,1,0,1,1
"cozy room essentials",26,,2,42,421,10,1.06,0.82,1.27,368,">10,000",8,1,0,0,0
"electric candle warmer wax melter",,,2,316,316,-5,0.84,0.68,1.36,258,">1,000",8,0,0,0,1
"vintage home decor aesthetic",16.1,,2,15,581,9,0.68,0.53,0.88,384,">40,000",9,1,2,0,0
"whimsigoth decor",25.2,,2,"4,294",949,0,0.52,0.37,0.62,462,221,12,1,0,0,0
"cozyberry candle warmer",,,2,"1,704",317,"3,141",1.19,0.9,1.54,199,186,8,1,0,0,0
"candle warming lamps",15.2,20,2,397,397,22,1.01,0.72,1.22,309,">1,000",8,1,0,1,0
"cozy berry candle warmer lamp",,,2,689,346,-2,1.12,0.85,1.28,348,502,8,1,0,1,1
"wax warmers for wax melts electric",21.4,,2,319,319,-15,0.62,0.48,0.75,279,">1,000",8,1,0,0,0
"fairycore decor",19.6,,2,"2,620",820,-5,0.51,0.34,0.69,537,">313",11,1,6,0,0
"hime decor",14.3,25,2,4,404,-15,0.91,0.74,1.23,397,">100,000",8,1,0,0,0
"home decir",12.8,,2,6,645,-5,0.77,0.61,0.97,458,">100,000",10,1,0,0,0
"nice gift for women",,,2,2,320,117,,,,219,">200,000",8,1,0,0,0
"candel lamp",31.8,,2,426,426,10,0.96,0.73,1.31,314,">1,000",8,1,0,0,1
"flamingo candle warmer",,,2,823,344,3,1.01,0.84,1.4,211,418,8,0,0,0,1
"gift birthday woman",27.8,14.3,2,3,268,4,1.7,1.15,2.19,332,">100,000",8,1,0,0,0
"cozy gifts for mom",,,2,20,407,112,1.3,0.93,1.59,450,">20,000",8,1,0,0,0
"better homes and gardens candle warmer",,,2,277,277,131,,,,197,">1,000",8,1,0,0,0
"vintage candle",25.5,33.3,2,103,412,6,1.25,0.91,1.48,346,">4,000",8,0,2,0,1
"candle warming light",31.8,25,2,423,423,10,0.89,0.62,1.18,335,">1,000",8,1,0,0,1
"tea light warmer",27.5,33.3,2,32,222,7,,,,272,">7,000",8,1,2,0,0
"cozy living room",30.4,50,2,6,397,-3,0.99,0.72,1.3,413,">70,000",8,1,1,0,0
"cute house decor",16.1,,2,8,764,14,0.82,0.52,0.88,708,">100,000",11,1,0,0,0
"battery candle warmer",36,33.3,2,821,821,5,0.85,0.67,1.21,522,">1,000",11,1,0,0,1
"andle warmer",43.3,50,2,12,356,31,,,,239,">30,000",8,1,0,0,1
"gift for host",,,2,37,367,87,1.4,0.99,1.66,304,">10,000",8,1,1,0,0
"gifts for apartment",,,2,9,359,42,1.16,0.96,1.56,372,">40,000",8,1,0,0,0
"wireless wax warmer",32.7,,2,892,378,0,0.75,0.63,0.85,279,424,8,0,0,0,1
"premium decor",17.7,,2,22,"2,197",-45,0.53,0.43,0.68,866,">100,000",27,1,1,0,0
"wood christmas decor",28,,2,7,412,-62,0.75,0.57,0.94,866,">60,000",8,0,0,0,1
"desk candle warmer",22,,2,375,375,25,,,,279,">1,000",8,1,0,0,1
"retro vintage decor",23.3,100,2,3,308,41,0.94,0.72,1.28,303,">100,000",8,1,0,0,0
"trendy christmas gifts",,,2,3,238,-37,1.23,0.9,1.64,461,">80,000",8,1,0,0,0
"candle soot catcher",45.8,,2,"1,451",341,164,,,,112,235,8,0,0,0,1
"vintage home accents",16.2,14.3,2,6,581,18,0.65,0.5,1.01,197,">90,000",9,1,0,0,0
"vintage modern decor",25,,2,4,343,-8,0.71,0.49,0.96,379,">90,000",8,1,0,0,1
"neutral gifts",,,2,5,271,29,1.07,0.91,1.33,357,">50,000",8,1,0,0,0
"aesthetic home decor",12.6,14.3,2,17,"1,653",1,0.76,0.55,0.97,719,">100,000",26,1,0,0,0
"vintage things",,,2,12,365,-5,,,,257,">30,000",8,1,0,0,0
"eccentric decor",18.2,50,2,591,400,44,0.67,0.48,0.95,316,">677",8,1,1,0,0
"desk lamp flower",44.4,100,2,322,322,-15,0.78,0.64,0.98,289,">1,000",8,1,0,0,0
"vintage decor for home",12.2,,2,14,"1,434",-14,0.76,0.51,0.98,792,">100,000",26,1,0,0,0
"candle warmer set",,,2,67,336,43,1.02,0.74,1.24,305,">5,000",8,0,0,0,1
"candle warmer green",48.9,,2,776,392,3,,,,269,505,8,0,0,0,1
"candle warmer cordless",47.6,,2,517,517,8,0.81,0.54,1.1,349,">1,000",9,1,0,0,1
"candle warmer cute",22.7,20,2,375,375,-2,0.9,0.62,1.2,346,">1,000",8,1,0,0,0
"wax warmers electric",21.3,33.3,2,381,381,15,0.63,0.45,0.73,298,">1,000",8,1,0,0,0
"candle warmer lamp lantern",63.9,16.7,2,554,359,5,0.91,0.75,1.43,375,">648",8,1,1,1,1
"aurora candle warmer lamp",,,2,493,271,28,,,,270,550,8,1,2,1,0
"cozy decor",18.4,33.3,2,17,"1,658",-8,0.74,0.5,0.91,944,">100,000",26,1,0,0,0
"marble lamp",36.4,33.3,2,"2,563","1,661",49,0.75,0.55,1,426,">648",27,0,2,0,1
"electric candle lamp",14.3,,2,201,402,6,0.98,0.7,1.29,409,">2,000",8,1,7,1,1
"modern house decor",14.1,25,2,8,764,1,0.72,0.5,0.86,371,">100,000",11,0,0,0,1
"elegant gifts for women",19,,2,6,644,104,1.35,0.93,1.76,501,">100,000",10,1,0,0,0
"candle warmer electric",22.6,50,2,182,364,12,,,,386,">2,000",8,1,0,0,1
"unique home decor",10.6,,2,21,"2,092",9,0.61,0.41,0.71,906,">100,000",27,1,0,0,0
"ladies gifts for christmas",,,2,3,349,25,1.32,1,1.72,386,">100,000",8,1,0,0,0
"last minute gifts for mother in law",,,1,378,213,"n/a",,,,139,563,8,1,0,0,0
"candle warmer lamp gold and white",,,1,247,247,"n/a",,,,134,"1,000",8,0,0,1,0
"mikasa electric candle warmer",,,1,507,282,"n/a",,,,124,556,8,1,0,0,0
"mikasa electric candle warmer lamp",,,1,423,274,"n/a",,,,92,648,8,1,0,1,0
"gift for mothers in law",,,1,9,268,"n/a",,,,94,">30,000",8,1,0,0,0
"candlewarmer lamp with timer",,,1,491,274,"n/a",,,,151,558,8,1,0,0,0
"heatless candle warmer",,,1,471,265,"n/a",,,,116,563,8,1,0,0,0
"candle warmer lantern lamp farmhouse",,,1,275,238,"n/a",,,,90,864,8,0,0,1,0
"candle warmer lamp masculine",,,1,368,256,"n/a",,,,108,695,8,1,0,1,1
"candle warmer lamp clear glass",,,1,361,280,"n/a",,,,160,775,8,1,0,1,1
"goloza candle warmer lamp",,,1,532,283,"n/a",,,,97,532,8,1,0,1,0
"orange candle warmer",,,1,94,283,"n/a",,,,131,">3,000",8,1,1,0,0
"teen candle warmer",,,1,453,262,"n/a",,,,133,579,8,1,0,0,1
"candle warmer lamp under 20 dollars",,,1,"1,059",235,"n/a",,,,96,222,8,1,0,1,0
"candle warmer lamp retro",,,1,356,213,-19,,,,95,">598",8,1,0,1,0
"candle waemer",,,1,8,241,-4,,,,96,">30,000",8,1,0,0,1
"candle warmer lamp white and silver",,,1,568,250,-23,,,,194,440,8,0,0,1,0
"mid century modern candle warmer",,,1,635,322,0,,,,191,507,8,1,0,0,1
"candle wamer lamp",,,1,213,213,-2,,,,180,">1,000",8,1,0,1,1
"candles for warmer lamp",47.2,20,1,482,482,5,1.03,0.75,1.37,237,">1,000",9,1,0,1,0
"yuichoy candle warmer lamp with timer, dimmable electric candle wamer adjustable height, christmas g",,,1,615,312,-23,,,,205,507,8,1,0,1,0
"blackyuichoy candle warmer lamp with timer, dimmable electric candle wamer adjustable height, glass ",71.1,,1,"6,986",482,-1,0.74,0.58,1.08,64,69,9,0,0,1,0
"lampara de velas",,,1,333,333,-16,,,,302,">1,000",8,1,0,0,1
"rechargeable candle warmer lamp",34.9,,1,683,388,3,,,,292,568,8,1,0,1,1
"best holiday gifts 2024",,,1,7,274,-13,0.93,0.83,1.49,431,">40,000",8,1,0,0,0
"candle warmer lamp￼",31.4,36.4,1,420,420,24,1,0.75,1.31,322,">1,000",8,1,0,1,0
"candle lamps for indoor use",23.8,12.5,1,773,436,20,0.95,0.67,1.3,272,564,8,1,0,1,0
"lampara calentador de velas aromáticas",,,1,535,322,-9,,,,274,602,8,1,0,0,1
"candle warmer lamp sale",,,1,358,289,50,,,,265,808,8,1,0,1,1
"gifts for moms on amazon",,,1,13,259,"1,283",1.47,1.1,1.75,159,">20,000",8,1,0,0,0
"apartment decor aesthetic cozy",,,1,113,225,-2,0.64,0.55,0.88,409,">2,000",8,1,0,0,0
"clearance candle warmer",29.6,100,1,29,289,223,,,,209,">10,000",8,1,0,0,1
"vintage coquette room decor",24.1,,1,396,396,-14,,,,386,">1,000",8,1,0,0,0
"bedroom must haves 2024",15.2,33.3,1,"1,814",439,-1,0.87,0.74,1.21,263,">242",8,1,1,0,0
"cozy kitchen decor",26.5,,1,7,400,-20,,,,375,">60,000",8,1,0,0,0
"battery candle warmer cordless",31,,1,486,330,-18,0.96,0.73,1.26,330,679,8,1,0,0,0
"candle warmer wireless cordless",36,,1,473,274,-11,,,,300,579,8,1,0,0,0
"candle warmer lamp set",,,1,278,228,91,,,,250,">821",8,1,0,1,1
"candle warmerlamp",,,1,489,265,124,,,,191,542,8,1,0,0,1
"lampara de velas aromaticas",29.3,50,1,"1,291",413,15,1.02,0.8,1.47,260,320,8,1,0,0,1
"candle warmer lamp clear",,,1,281,247,501,,,,243,878,8,1,0,1,0
"candle warmer lamp stained glass",41.9,,1,748,397,7,,,,256,531,8,0,0,1,0
"battery operated candle warmer lamp",25.5,,1,509,375,6,,,,332,">737",8,1,0,1,1
"candle warmer lamp crystal",46.7,,1,697,388,32,,,,285,">557",8,1,0,1,1
"lamp that melts candles",32.4,,1,458,359,90,,,,304,">784",8,1,0,1,0
"regalo para mujeres",,,1,12,362,36,1.35,1.07,1.81,296,">30,000",8,1,0,0,0
"rose gold candle warmer lamp",38.5,66.7,1,623,320,90,,,,255,514,8,1,0,1,1
"candle warmer lamp vintage style",28,25,1,519,296,-6,,,,324,570,8,1,0,1,0
"wood candle warmer lamp",48.4,,1,454,319,100,,,,253,">702",8,1,2,1,0
"cozy mom gifts",,,1,13,259,51,1.22,0.97,1.46,190,">20,000",8,1,0,0,0
"boho candle warmer",34.4,50,1,637,408,8,,,,277,641,8,1,0,0,1
"aesthetic candle warmer",36,,1,536,364,90,,,,241,">679",8,1,0,0,1
"adjustable height candle warmer lamp",32.1,33.3,1,330,274,56,,,,266,">831",8,1,1,1,0
"candle warmer lamp large",23.9,25,1,384,384,51,,,,314,">1,000",8,1,0,1,1
"candle warmer lamp rose gold",37.9,28.6,1,768,391,7,,,,318,509,8,1,0,1,0
"boho candle warmer lamp",33.3,,1,693,372,20,,,,362,537,8,1,0,1,1
"lamp candle warmers",26.9,50,1,333,333,-10,,,,196,">1,000",8,1,1,1,0
