产品名称,ASIN,URL,Listing月销量,实际价格( $ ),评分星级,评价数量,曝光占比,曝光占比,曝光占比,曝光占比,曝光占比,曝光占比,上架时间,品牌,卖家
产品名称,ASIN,,Listing月销量,实际价格( $ ),评分星级,评价数量,全部( % ),自然位( % ),品牌广告( % ),SP广告( % ),视频广告( % ),推荐( % ),上架时间,品牌,卖家
"Grounding Mat for Bed 90% Organic Cotton+10% Pure Silver Fiber, Grounding Fitted Sheets for All Mattress Sizes, with Static grounding Cord and Test Pen (White, 105.5 * 23.5 inch)",B0F1DKMV8R,https://www.amazon.com/dp/B0F1DKMV8R/?th=1,1450,20.00,1.00,2,0.05,0.08,0,0,0,0,2025-04-23,TWK,TWK-US
"Grounding Mat for Bed with Leather, Improve Sleep, Relieve Stress & Pain, Anti-Slip & Eco-Friendly PU Leather, Includes Grounding Cord & Sleep Mask for Enhanced Rest(Queen-27’’×60’’)",B0DSLB35ZD,https://www.amazon.com/dp/B0DSLB35ZD/?th=1,1349,--,4.20,91,0.15,0.12,0,0.28,0,0,2025-03-11,IKNUH,N/A
"Grounding Mat for Bed with Leather, Improve Sleep, Relieve Stress & Pain, Anti-Slip & Eco-Friendly PU Leather, Includes Grounding Cord & Sleep Mask for Enhanced Rest(King-27’’×78’’)",B0DSLB5R1J,https://www.amazon.com/dp/B0DSLB5R1J/?th=1,1322,--,3.80,30,0.18,0.27,0,0,0,0,2025-03-11,IKNUH,N/A
"Grounding Mat for Bed 90% Organic Cotton+10% Pure Silver Fiber, Grounding Fitted Sheets for All Mattress Sizes, with Static grounding Cord and Test Pen (Gray, 105.6 * 23.6 inch)",B0F1DGRG63,https://www.amazon.com/dp/B0F1DGRG63/?th=1,1247,20.00,4.80,83,0.04,0.06,0,0,0,0,2025-04-17,TWK,TWK-US
"Grounding Mat for Bed 90% Organic Cotton+10% Pure Silver Fiber, Grounding Fitted Sheets for All Mattress Sizes, with Static grounding Cord and Test Pen (Gray, 105.3 * 23.4 inch)",B0F21DB9YM,https://www.amazon.com/dp/B0F21DB9YM/?th=1,1247,20.00,4.80,88,0.18,0.27,0,0,0,0,2025-05-02,TWK,TWK-US
"Grounding Mat for Bed 90% Organic Cotton+10% Pure Silver Fiber, Grounding Fitted Sheets for All Mattress Sizes, with Static grounding Cord and Test Pen (White, 105.2 * 23.4 inch)",B0F2NBGS37,https://www.amazon.com/dp/B0F2NBGS37/?th=1,1247,36.99,4.80,88,0.12,0.18,0,0,0,0,--,TWK,TWK-US
"Grounding Mat for Bed 90% Organic Cotton+10% Pure Silver Fiber, Grounding Fitted Sheets for All Mattress Sizes, with Static grounding Cord and Test Pen (Gray, 105.1 * 23.3 inch)",B0F3CZ6967,https://www.amazon.com/dp/B0F3CZ6967/?th=1,1247,20.00,4.80,88,0.04,0.04,0,0.05,0,0,--,TWK,TWK-US
26.8' x 26.8' Plant Repotting Mat Waterproof Transplanting Mat Indoor Succulent Potting Mat Portable Gardening Watering mat Square and Foldable Garden mat,B09PBGLB4Z,https://www.amazon.com/dp/B09PBGLB4Z/?th=1,1149,4.99,4.70,692,0.12,0.18,0,0,0,0,2022-02-08,WondMall,IntegrityMall
"OZUBEEL Grounding Sheets, Grounding Mat for Bed Earth Grounded Sheet Pad 10% Silver Fiber+90% Organic Cotton, for Queen, King and All Mattress Sizes, with Outlet Tester & Cord 104”*24” (White)",B0DR23Q52N,https://www.amazon.com/dp/B0DR23Q52N/?th=1,1106,21.99,4.40,194,0.04,0.06,0,0,0,0,2025-01-02,OZUBEEL,OZUBEEL Shop
"Grounding Sheets, Grounding Mat for Bed Earth Grounded Sheet Pad 10% Silver Fiber+90% Organic Cotton, for Queen, King and All Mattress Sizes, with Outlet Tester & Cord 104'*24' (Smoky Grey)",B0DTP2Y44D,https://www.amazon.com/dp/B0DTP2Y44D/?th=1,1106,18.69,4.20,254,0.54,0.60,0,0.42,3.92,0,2025-03-18,OZUBEEL,OZUBEEL Shop
"Grounding Mat for Bed, Grounding Pad for Sleep, Anti-Slip PU Leather Grounding Mattress with Grounding Cord, 27’’×39‘’, Twin",B0D6VFQ734,https://www.amazon.com/dp/B0D6VFQ734/?th=1,1004,27.99,3.90,579,0.05,0,0,0.19,0,0,2024-06-12,Dragsui,EudoreGAM
"Grounding Mat for Bed, Grounding Pad for Sleep, Anti-Slip PU Leather Grounding Mattress with Grounding Cord, 27’’×76‘’, King",B0D6VQTDN7,https://www.amazon.com/dp/B0D6VQTDN7/?th=1,1004,45.49,3.90,579,0.22,0.21,0,0.28,0,0,2024-06-25,Dragsui,EudoreGAM
"Grounding Mat for Bed, Grounding Pad for Sleep, Anti-Slip PU Leather Grounding Mattress with Grounding Cord, 27’’×60‘’, Queen",B0D6VMGVFZ,https://www.amazon.com/dp/B0D6VMGVFZ/?th=1,1004,34.99,3.90,583,0.45,0.47,0,0.51,0,0,2024-06-17,Dragsui,EudoreGAM
"Grounding Mat for Bed, Grounded Pad for Sleep, Anti-Slip PU Leather Grounded Mat with Grounding Cord, 27’’×39‘’, Twin",B0DZNFXH4X,https://www.amazon.com/dp/B0DZNFXH4X/?th=1,986,34.99,3.40,29,0.05,0,0,0.19,0,0,2025-04-02,Dragsui,DuneyrrToy
"Grounding Mat for Bed, Grounded Pad for Sleep, Anti-Slip PU Leather Grounded Mat with Grounding Cord, 27’’×76‘’, King",B0DY4RG9GV,https://www.amazon.com/dp/B0DY4RG9GV/?th=1,986,53.19,3.40,29,0.01,0.02,0,0,0,0,2025-04-04,Dragsui,DuneyrrToy
"Grounding Mat for Bed, Grounded Pad for Sleep, Anti-Slip PU Leather Grounded Mat with Grounding Cord, 27’’×54‘’, Full",B0DZN2LFT7,https://www.amazon.com/dp/B0DZN2LFT7/?th=1,986,41.99,3.40,29,0.05,0,0,0.19,0,0,2025-03-07,Dragsui,DuneyrrToy
"Earth and Moon Grounding Mat for Bed 24x35in - Full Body Grounding Pad and Mattress Cover for Pain, Inflammation and Restful Sleep, Includes 15 Feet Cord and Outlet Tester for Safe Use",B07F76MFBP,https://www.amazon.com/dp/B07F76MFBP/?th=1,976,69.99,4.20,2225,0.45,0.16,4.06,0.19,11.76,0,2019-02-01,EARTH AND MOON,Earth and Moon
"Earth and Moon Grounding Mat for Desk, Reduce Fatigue & Stress, Supports Energy & Wellness, Grounding Pad for Bed, Office, Living Room, Works Well w/Sheets, Blanket, w/ 15 Foot Cord, 35x24in, 2 Pack",B09LJQFQK4,https://www.amazon.com/dp/B09LJQFQK4/?th=1,976,109.99,4.20,2216,0.09,0.14,0,0,0,0,2021-11-11,EARTH AND MOON,Earth and Moon
"Grounding Mat for Feet (13x29in) – Earth Connected Wellness for Pain Relief, Muscle Tension & Relaxation – Travel Size Grounding Pad with Outlet Tester by Earth and Moon",B0C3JD6W81,https://www.amazon.com/dp/B0C3JD6W81/?th=1,976,34.99,4.20,2225,0.43,0.64,0,0,0,0,2023-05-25,EARTH AND MOON,Earth and Moon
Grounding Mat,B0CP39ZHMY,https://www.amazon.com/dp/B0CP39ZHMY/?th=1,944,69.00,3.80,168,0.74,0.64,2.39,0.65,0,0,2023-12-07,GroundingWell,WellGrounded
"Grounding Sheets – Grounding Mat for Bed, 10% Silver Fiber Grounded Fitted Bed Earth Sheets for All Mattress Sizes, Includes Grounding Cord (White)",B0DTHRFXK8,https://www.amazon.com/dp/B0DTHRFXK8/?th=1,940,39.99,4.30,69,0.39,0.58,0,0,0,0,2025-01-23,MCZAROA,MCZAROA?
"Grounding Sheets – Grounding Mat for Bed, 10% Silver Fiber Grounded Fitted Bed Earth Sheets for All Mattress Sizes, Includes Grounding Cord (Deep Gray)",B0DTHW4DNF,https://www.amazon.com/dp/B0DTHW4DNF/?th=1,940,39.99,4.30,69,0.01,0.02,0,0,0,0,2025-01-22,MCZAROA,MCZAROA?
"Grounding Mat for Bed King, Queen, Full Size, for Sleeping Improvement, Muscle Relaxation, Earthing Pad for Feet, Mats for Desk, Earth, Pads for Bedding, Wellness Gift",B0DH79MDVD,https://www.amazon.com/dp/B0DH79MDVD/?th=1,884,49.99,4.10,143,0.74,0.66,3.10,0.46,0,0,2024-09-22,GAYA,GAYA LIVING LLC
"Grounding Mat for Bed King, Queen, Full Size, for Sleeping Improvement, Muscle Relaxation, Earthing Pad for Feet, Mats for Desk, Earth, Pads for Bedding, Wellness Gift",B0DH79WW6X,https://www.amazon.com/dp/B0DH79WW6X/?th=1,884,47.49,4.10,139,0.01,0,0,0.05,0,0,2024-09-22,GAYA,GAYA LIVING LLC
"Grounding Mat for Bed King, Queen, Full Size, for Sleeping Improvement, Muscle Relaxation, Earthing Pad for Feet, Mats for Desk, Earth, Pads for Bedding, Wellness Gift",B0DS7Z1C33,https://www.amazon.com/dp/B0DS7Z1C33/?th=1,884,44.99,4.10,134,0.13,0,0,0.46,0,0,2025-02-28,GAYA,GAYA LIVING LLC
"Yoga Steet Grounding Mat, Foot Therapy, 35.4x23.6 inches Grounding Pad for Bed, Boost Energy, Improve Sleep, Reduce Anxiety - Reconnect to Nature with Our Grounding Mat",B0D2RG4Z2S,https://www.amazon.com/dp/B0D2RG4Z2S/?th=1,883,17.99,4.00,215,0.48,0.64,0,0.19,0,0,2024-08-20,SORSWEET,SORSWEET
"Grounding Pads, Anti-Slip PU Leather, Grounding Mat Improves Sleep, relieves Stress, with Static grounding Cord and Test Pen (Black, (60.2 * 27 inch))",B0F21KZD2J,https://www.amazon.com/dp/B0F21KZD2J/?th=1,857,35.00,5.00,66,0.21,0.31,0,0,0,0,2025-05-03,TWK,TWK-US
"Grounding Mattress Pads, Anti-Slip PU Leather, Grounding Mat Improves Sleep, relieves Stress, with Static grounding Cord and Test Pen (Black, (76.1 * 27.2 inch))",B0F21L1VFV,https://www.amazon.com/dp/B0F21L1VFV/?th=1,857,79.99,5.00,66,0.08,0,0,0.28,0,0,--,TWK,TWK-US
"Grounding Mat for Bed, Grounded Pad for Sleep, Anti-Slip PU Leather Grounded Mat with Grounding Cord, 27’’×72‘’, California King",B0DZX3Z1YV,https://www.amazon.com/dp/B0DZX3Z1YV/?th=1,845,69.99,5.00,72,0.08,0.12,0,0,0,0,2025-03-10,Dragsui,DuneyrrToy
